product_id,name,category,price
1,Just Likely,Food,862.66
2,Sing Move,Sports,890.58
3,I Issue,Clothing,833.17
4,Into Call,Sports,414.87
5,Fire Great,Clothing,680.01
6,Work Prevent,Electronics,363.02
7,Red Beyond,Food,971.08
8,Start Surface,Sports,786.19
9,Including Citizen,Sports,303.22
10,Decide Learn,Food,885.46
11,Cost Wind,Electronics,582.41
12,Power Difference,Books,884.83
13,Different Place,Sports,473.99
14,Poor Here,Food,217.33
15,These What,Electronics,215.05
16,A Resource,Food,880.42
17,Half Or,Clothing,715.48
18,Alone Study,Clothing,604.7
19,Inside Recognize,Food,278.23
20,Outside Individual,Books,444.39
21,Staff Generation,Electronics,32.14
22,Accept Lay,Clothing,739.69
23,Owner Leader,Clothing,190.44
24,Enough Kitchen,Electronics,400.58
25,Get Meeting,Food,518.37
26,Toward Firm,Sports,917.46
27,Front Deal,Electronics,127.42
28,Change North,Sports,14.28
29,Wrong Low,Clothing,542.65
30,Bed Between,Food,789.9
31,Father Amount,Books,273.04
32,Office Understand,Sports,156.93
33,Project Sign,Food,285.17
34,Young Time,Food,216.1
35,Moment Upon,Sports,622.55
36,Work Gas,Sports,674.67
37,Difference Would,Sports,164.11
38,Everybody Writer,Clothing,931.04
39,Need Little,Sports,50.94
40,Identify Various,Clothing,837.23
41,Free Type,Food,255.96
42,Leader Much,Books,34.69
43,Future Certain,Books,992.21
44,Son Share,Electronics,363.01
45,Already Miss,Electronics,367.61
46,Audience Office,Clothing,503.65
47,Interesting But,Sports,24.56
48,Necessary Pressure,Clothing,595.58
49,Teacher Town,Electronics,217.77
50,Debate Source,Books,756.65
51,Card War,Electronics,325.26
52,Research A,Books,241.25
53,Draw Strategy,Clothing,642.48
54,Black Source,Electronics,521.47
55,Leave Foot,Electronics,908.99
56,Out Each,Books,676.48
57,Full Hold,Clothing,77.76
58,Skin Cell,Food,651.44
59,Improve Leave,Clothing,213.4
60,Other Particularly,Clothing,514.79
61,Whole Player,Sports,395.01
62,Bag Want,Electronics,397.38
63,Something Through,Clothing,160.09
64,Anyone Require,Food,363.46
65,Until Best,Food,968.92
66,Media You,Clothing,222.24
67,Control Personal,Sports,656.55
68,View All,Food,201.87
69,Attack Sit,Books,245.83
70,Travel Soldier,Books,702.96
71,Near Assume,Clothing,330.46
72,Indicate Different,Clothing,270.41
73,Strategy Million,Electronics,543.53
74,Effort Fish,Books,443.91
75,Arrive Let,Food,950.01
76,Why Chair,Electronics,602.83
77,Myself Record,Food,184.06
78,Economic Win,Electronics,409.88
79,Morning Door,Books,586.72
80,Event Agent,Electronics,424.14
81,Sing Without,Food,986.1
82,Stand Professional,Sports,322.88
83,Certain Attack,Clothing,345.45
84,Miss Hit,Books,811.33
85,Marriage Modern,Clothing,453.15
86,Film Response,Electronics,154.33
87,Financial Sure,Food,542.06
88,Focus Water,Books,846.09
89,Apply Speech,Food,895.28
90,Spend Begin,Clothing,306.88
91,Beyond Never,Sports,59.55
92,Remain Need,Food,959.06
93,Including Defense,Books,249.58
94,Organization Upon,Clothing,774.98
95,Dark Effort,Sports,131.0
96,Run Beautiful,Electronics,187.94
97,Power National,Sports,551.56
98,Medical Response,Food,935.02
99,Number Side,Electronics,969.2
100,Open Find,Food,512.02
101,However Each,Food,644.54
102,Glass Mission,Sports,418.27
103,Center Old,Clothing,631.75
104,That Easy,Clothing,623.52
105,Fly Already,Clothing,925.57
106,Statement Face,Clothing,466.13
107,Power Someone,Clothing,374.23
108,Though Describe,Sports,629.64
109,Agreement Nothing,Food,951.44
110,Radio Expect,Clothing,815.68
111,Boy Now,Clothing,799.68
112,Benefit Shake,Electronics,439.4
113,Science Account,Books,79.94
114,Billion Attention,Clothing,419.89
115,Long Evidence,Sports,882.59
116,Board Chair,Food,522.29
117,May Country,Food,509.66
118,Stuff Sing,Electronics,956.96
119,Hand Factor,Food,54.77
120,Accept Rock,Food,563.42
121,Various Detail,Clothing,862.08
122,Young Guess,Sports,686.78
123,Already Finally,Electronics,225.52
124,Cup Information,Food,735.12
125,Accept Real,Sports,610.43
126,Former Effort,Sports,946.1
127,Run Resource,Electronics,954.05
128,Gun Hear,Food,418.19
129,Investment Threat,Electronics,72.48
130,Court Customer,Clothing,191.13
131,Seat In,Books,492.43
132,Unit Kind,Food,599.04
133,Benefit Difficult,Food,449.3
134,Worry Raise,Sports,224.46
135,Model Analysis,Sports,926.09
136,Firm Last,Clothing,569.23
137,Wish Choose,Sports,942.01
138,Do Specific,Electronics,253.77
139,Letter Week,Food,708.03
140,Area Happen,Sports,889.52
141,Church Court,Clothing,514.63
142,House Mean,Clothing,231.62
143,Determine Painting,Food,602.62
144,With Perform,Books,682.29
145,As Mission,Electronics,59.4
146,Reach Oil,Food,729.83
147,Place Agree,Sports,534.43
148,Politics Congress,Electronics,582.98
149,Rock Design,Sports,107.97
150,Together Quite,Sports,453.76
151,Writer Find,Electronics,689.98
152,By Say,Sports,975.74
153,Note Social,Books,850.6
154,Movie Employee,Clothing,885.04
155,Artist Thank,Sports,193.9
156,Win Economy,Books,730.09
157,Upon Song,Food,244.2
158,That Lot,Clothing,418.87
159,This Line,Food,721.31
160,During Future,Electronics,473.8
161,Other Head,Sports,448.86
162,Stock Interesting,Clothing,406.56
163,Fish Speak,Food,841.78
164,Level Knowledge,Clothing,952.99
165,Pick Heavy,Books,439.66
166,Outside Leave,Food,289.52
167,Would Produce,Clothing,8.37
168,Fly Woman,Sports,626.23
169,Born Believe,Food,677.92
170,Power Everyone,Sports,296.64
171,Indeed Later,Books,418.08
172,Indicate Thank,Sports,325.65
173,Executive Spend,Food,613.83
174,Own Side,Clothing,28.99
175,Others Agree,Clothing,648.3
176,No Away,Books,790.39
177,Reach What,Electronics,944.64
178,Century Together,Clothing,747.28
179,Seem He,Books,565.73
180,Represent Which,Clothing,648.18
181,Congress Prevent,Food,392.87
182,Score Fish,Sports,435.33
183,Experience Manager,Sports,447.09
184,Candidate Land,Books,665.79
185,Model Ahead,Electronics,820.35
186,North Let,Sports,904.46
187,Level Walk,Sports,559.51
188,Open When,Electronics,877.66
189,At System,Clothing,120.32
190,Though Determine,Clothing,231.83
191,Manage Eight,Electronics,754.05
192,Authority Keep,Books,759.44
193,Consider Politics,Books,700.8
194,Radio Low,Electronics,301.49
195,Game Board,Food,568.4
196,Take Clear,Food,940.62
197,Day Put,Clothing,995.67
198,Fund Maintain,Clothing,693.58
199,Accept Staff,Clothing,651.17
200,Item How,Clothing,583.47
