product_id,name,category,price
1,Book Full,Food,82.4
2,Authority Either,Sports,965.41
3,At Available,Electronics,363.66
4,Yes Than,Food,286.86
5,Safe News,Food,198.62
6,Focus Certain,Clothing,194.83
7,Yet Yet,Food,523.67
8,Sense Physical,Books,572.84
9,Teach Effect,Sports,753.23
10,Help Sit,Sports,587.65
11,Sell Alone,Clothing,885.41
12,General Yet,Electronics,942.47
13,Amount Participant,Food,519.13
14,Yard Guy,Books,293.03
15,Question Against,Books,342.61
16,Wife Director,Sports,703.7
17,Thing Make,Food,756.9
18,Fight Behavior,Electronics,36.41
19,Blood Free,Sports,465.12
20,Task Rise,Sports,891.02
21,Door Couple,Electronics,83.94
22,His Green,Electronics,699.77
23,Factor Case,Sports,67.63
24,Dog Finally,Electronics,844.27
25,Close Hand,Sports,142.97
26,Assume Green,Books,42.5
27,Into Mission,Clothing,329.7
28,Space Benefit,Electronics,188.72
29,Wish Nor,Food,269.02
30,Issue Save,Sports,403.08
31,Why Thus,Sports,271.49
32,Various Herself,Sports,582.34
33,Indeed Eat,Books,679.0
34,Throw Suggest,Electronics,48.25
35,Design Which,Electronics,145.04
36,Shoulder Should,Electronics,371.31
37,Character Interview,Electronics,865.56
38,Fly Water,Sports,964.37
39,Quite New,Food,686.94
40,Gun Practice,Sports,535.33
41,Nearly Difficult,Books,144.16
42,Discover Mention,Electronics,453.24
43,Discuss Why,Sports,522.13
44,Choice Might,Food,473.96
45,Scene Woman,Food,26.15
46,With Yet,Books,378.34
47,Result Spend,Sports,534.54
48,Key Machine,Books,512.77
49,Somebody Discussion,Books,198.82
50,Need Up,Books,697.87
51,Successful Front,Sports,507.48
52,Necessary Word,Books,278.43
53,Attorney Down,Food,986.07
54,Great Teacher,Sports,216.98
55,Start Agree,Electronics,265.88
56,Race International,Clothing,59.35
57,Detail Arrive,Food,414.39
58,Outside Respond,Electronics,786.42
59,I Send,Sports,76.35
60,Rise Design,Food,326.55
61,I Should,Clothing,870.42
62,Surface Security,Sports,705.38
63,Industry Side,Electronics,456.7
64,Control Chance,Food,75.11
65,Force Nor,Electronics,302.03
66,Break Indicate,Electronics,89.53
67,Easy Daughter,Sports,384.97
68,Side Something,Sports,140.51
69,Analysis Camera,Sports,191.33
70,Huge All,Books,602.52
71,Property Leave,Food,564.04
72,Model You,Books,103.22
73,Traditional Dog,Clothing,122.77
74,Conference Able,Sports,769.77
75,Stand Business,Food,672.82
76,Increase High,Books,446.28
77,Want Point,Sports,446.38
78,Coach My,Books,435.74
79,Civil Son,Food,722.52
80,Coach Similar,Books,854.49
81,Speech Down,Sports,297.14
82,Among Teach,Clothing,516.41
83,No Fly,Books,472.88
84,Prevent Expert,Sports,103.13
85,Action Interview,Sports,38.85
86,Give Better,Electronics,444.24
87,Parent Certain,Food,339.01
